"artist_id","artist_name"
22614,"Antwon"
385,"Atmosphere"
111,"Ludacris"
1432,"Kano"
117146,"King of the Dot"
991289,"<U+200B>sKitz Kraven"
303,"D12"
1039012,"Bandhunta Izzy"
676,"Coolio"
8508,"Time"
13045,"Murda Mook"
54432,"NFL"
61464,"DB3"
12136,"Krept & Konan"
326,"Trey Songz"
8073,"Micranots"
1745,"Childish Gambino"
699784,"Lajan Slim"
18814,"VIC MENSA"
39892,"EARTHGANG"
1271,"Mac Lethal"
42,"The Game"
229,"Redman"
11647,"Don Trip"
1578,"P.O.S"
308,"Naughty By Nature"
1840820,"<U+200B>R.A.P. Ferreira"
491,"Big K.R.I.T."
81039,"Armand Hammer"
958210,"Fukkit"
17173,"Caskey"
3489,"Oschino"
311,"Insane Clown Posse"
3147,"Violent J"
1125,"Pete Rock & C.L. Smooth"
438,"Chris Brown"
4836,"Living Legends"
76,"Raekwon"
9476,"The Procussions"
13746,"Mr. Muthafuckin eXquire"
151480,"Princess Nokia"
1342,"Jodeci"
42708,"Akua Naru"
166056,"Little Simz"
364817,"Display"
249591,"Hazakim"
1281,"Papoose"
56,"Nas"
223850,"Daily Meds"
520,"Camp Lo"
45258,"Alert312"
977353,"Wrecko"
1060154,"Mitsuruggy"
1383813,"Fanaa"
1330,"Rubberbandits"
1521869,"Watrs"
26602,"Rob Kelly"
150855,"Jory Boy"
71286,"Ninho"
15176,"Hugo TSR"
26970,"Dooz Kawa"
1310,"MC Solaar"
11499,"Seth Gueko"
255,"Lloyd Banks"
18002,"Lord Kossity"
158554,"Egreen"
1265,"Médine"
163012,"Dargen D’Amico"
143247,"Luny Tunes"
15862,"Hippocampe Fou"
1750,"Despo Rutti"
453750,"Delahoja"
6421,"MIKE"
12659,"La Rumeur"
52700,"Shotta"
19305,"Alaclair Ensemble"
11830,"Kool Savas"
54334,"Dead Obies"
26314,"Erik og Kriss"
460,"Ace Hood"
2049,"Ab-Soul"
2796,"C-Rayz Walz"
45,"Eminem"
36436,"Joey Purp"
16377,"Flatbush Zombies"
48147,"Run The Jewels"
105,"OutKast"
26593,"Jon Bellion"
323651,"BROCKHAMPTON"
1,"Cam’ron"
21534,"Bodega Bamz"
1263,"Nipsey Hussle"
88,"Rick Ross"
554,"Tyga"
14325,"2 Chainz"
1985,"Frank Ocean"
319,"Vinnie Paz"
301,"DJ Drama"
411,"Lil’ Kim"
64,"Bone Thugs-N-Harmony"
25008,"Nines"
69,"J. Cole"
820,"Mac Miller"
65109,"Rich the Kid"
1220,"Necro"
576538,"<U+200B>cupcakKe"
426,"Army of the Pharaohs"
11932,"Sadistik"
2254,"D-WHY"
147,"Lupe Fiasco"
20849,"Hichkas"
11590,"Twisted Insane"
235,"The Coup"
451539,"Westside Gunn"
2183,"The Kings Dead"
338,"Busta Rhymes"
409,"Charles Hamilton"
322090,"Hovey Benjamin"
1413,"LE1F"
1312707,"Krimelife Ca$$"
16171,"Swoope"
7092,"3OH!3"
9517,"Prozak"
115,"Chamillionaire"
14460,"Reese LAFLARE"
18192,"Wiki"
11979,"Gilbere Forte"
1010,"XV"
1912,"Funkmaster Flex"
13457,"Astronautalis"
1298751,"Ruby Yacht"
334192,"Machine Head"
1748904,"Vin Jay"
1072,"Diabolic"
125148,"Kap G"
1086505,"Lil Raven"
368,"The Streets"
1278639,"Mango x MathMan"
12843,"Devon Tracy"
450,"Celph Titled"
3646,"Big Noyd"
1608,"Esham"
72445,"Merkules"
9001,"NATAS"
12033,"Meyhem Lauren"
70941,"Strange U"
2463,"Snowgoons"
1315,"Hell Rell"
49252,"Hardy Caprio"
650108,"Fantasy Camp"
2034260,"Reetkat"
695287,"Jonah Cruzz"
266919,"Lord Byron"
3972,"Boss Hogg Outlawz"
13907,"<U+200B>billy woods"
63520,"Samsonyte"
341715,"Daveed"
237830,"Slum"
183,"Ja Rule"
3608,"Erick Sermon"
18259,"Jevon"
11675,"Neako"
957,"CYNE"
1197717,"Bad Nylon"
3888,"Pumpkinhead"
137986,"Deante’ Hitchcock"
20314,"No Malice"
126006,"Moodie Black"
1196220,"Keralanka"
1548293,"SHIRLOQ"
